mean_x,std_x,max_x,min_x,range_x,median_x,var_x,skew_x,mean_y,std_y,max_y,min_y,range_y,median_y,var_y,skew_y,mean_z,std_z,max_z,min_z,range_z,median_z,var_z,skew_z,mean_abs,std_abs,max_abs,min_abs,range_abs,median_abs,var_abs,skew_abs,label,source_file
0.982500779172,5.978044834689964,14.34676575,-43.12651794,57.47328369,0.8616831205,35.73702004556336,-1.1183373319564072,-5.86579711215,9.501259711970679,4.194427643,-93.4431839,97.63761154299999,-3.3542248535,90.27393611431714,-4.229265276620032,3.7273209961400005,8.546355093134782,66.12080109,-34.69560013,100.81640122,1.566193085,73.04018537795083,0.972509393464196,11.631528134744,10.631298140822278,102.9552707,0.496183293,102.459087407,9.524239575500001,113.02450015905123,3.5260122568247403,jumping,Data_Jumping_Ben.csv
-2.066815335362,6.081139848452492,11.88393723,-35.29989349,47.18383072,-0.961375809,36.9802618564368,-3.039129370713916,-8.642520186744001,14.229362139272144,5.442532196,-72.46176498,77.904297176,-2.172058182,202.47474689055153,-1.865824694668844,2.42064624032,5.567163865367129,49.86475571,-12.47715363,62.34190934,1.098864899,30.99331350384947,2.5282281840706364,12.219247795004001,14.35140113737199,75.9815751,0.320595676,75.660979424,5.237863294,205.96271460576207,1.7573963099239938,jumping,Data_Jumping_Ben.csv
-0.575118734444,1.9710544845208378,6.879693604,-6.215225372,13.094918975999999,-0.5233117675,3.8850557809497057,0.24633567450405275,-9.562670224834001,11.797919222414,4.615801392,-43.19088409,47.806685482,-3.6048786165,139.19089797860576,-0.8118866034929518,2.191622796898,4.228651733280717,20.82484451,-12.83026932,33.65511383,1.6804055785,17.881495481378014,0.8290136935266741,11.526122737747999,11.166224865758563,45.76168598,0.305011035,45.456674945,5.590641998000001,124.68457775268486,0.9204150982312502,jumping,Data_Jumping_Ben.csv
-0.131612610178,2.8044077169609274,8.383466492,-7.953710175,16.337176667,-0.3528163145,7.864702642950001,0.3576375418081832,-9.494236134293999,10.89778920142985,3.600762177,-43.05391891,46.654681087,-3.7901932525,118.76180947880104,-0.7675452034048108,2.053740624444,4.8180217153153135,36.08501083,-17.15058517,53.235596,1.805545349,23.213333249249914,1.072169402276567,11.763756259303998,10.287350302730896,50.20665505,0.109444466,50.097210584,7.7109495315,105.82957625109746,0.8804860694123332,jumping,Data_Jumping_Ben.csv
-0.940274788522,2.7282777102788898,8.79196701,-9.996512146,18.788479156,-1.031055908,7.443499264404623,0.2702710729161107,-10.00549825933,12.989818323422254,4.93897934,-49.48364822,54.42262756,-3.243979111,168.73538007551656,-0.9504964976285162,2.084870190124,4.096797202378567,24.44895813,-10.9831105,35.43206863,1.089584198,16.78374731741685,1.3447557281208051,12.169306664372,12.25607595323663,51.7114994,0.324889842,51.386609558,5.742090762,150.21139777150518,1.07825656382198,jumping,Data_Jumping_Ben.csv
-1.028686934556,6.910078964535039,51.01316757,-25.21985504,76.23302261,-1.5480807495,47.749191296109636,1.5617278217131827,-9.590722190482,16.448614313100013,17.24039841,-70.61804901,87.85844741999999,-0.8851094055,270.55691282111854,-1.1273560103808828,2.00853522944,5.432705304145098,29.17478073,-21.9994519,51.17423263,1.7384848019999999,29.514286921686285,0.8311215301011997,15.253696347482,14.56775554090658,71.85301662,0.852798778,71.00021784200001,8.156684152499999,212.21950149961438,1.3060638855727258,jumping,Data_Jumping_Ben.csv
-1.1272806079079998,3.847671989242424,9.752818909,-14.30904419,24.061863099,-1.0425070955,14.804579736800754,-0.3198693312204711,-9.118161485584002,13.150325857692534,4.153113556,-61.83626083,65.989374386,-2.3652314755,172.93107016349688,-1.4224172692856125,2.925681913226,4.921117280319842,22.66900955,-14.73790237,37.40691192,1.830468521,24.21739528666256,1.0611284230042581,11.956772899038,12.726345592494727,64.71471068,0.495848965,64.218861715,5.6419159685,161.95987213960996,1.47116012037075,jumping,Data_Jumping_Ben.csv
0.03400807982600002,2.708707691205872,10.1258432,-5.903423767,16.029266966999998,-0.060923308999999995,7.337097356397846,0.6926258112457384,-10.008546520336,13.083934051253138,3.57456665,-44.10338654,47.677953190000004,-3.330499191,171.18933025754134,-0.942265398280478,2.771950399422,6.093566353308545,32.23651382,-22.08507385,54.32158767,1.5382012939999998,37.131550902174,0.9884453031900705,12.440130355828,12.990650648080372,55.18438615,0.431065052,54.753321098,5.2260585275,168.75700426047098,1.0421725099026926,jumping,Data_Jumping_Ben.csv
-0.10142249083200004,3.031110855601804,14.11340103,-10.77803696,24.89143799,-0.4377646635,9.187633018947102,0.6627178558049048,-9.59309954685,13.61943986831488,4.546345825,-57.95019196,62.496537785,-2.7513535305000003,185.4891423266448,-1.3154276865621952,2.53371630982,5.890164873604702,45.00166855,-19.63182541,64.63349396,1.547706528,34.694042238246695,2.4010652923445286,11.993956511355998,13.563679019945791,65.49702995,0.304255351,65.192774599,4.877001966,183.9733885561176,1.4691446768532244,jumping,Data_Jumping_Ben.csv
-0.15665852693200003,2.9901361665613067,12.66740799,-11.03131027,23.69871826,-0.45146118150000003,8.940914294577945,0.8457214867860001,-9.196985470344002,12.740630254630824,3.331921234,-54.55570084,57.887622074,-2.3531066894999997,162.32365928521432,-1.1850789578433807,2.77360386107,4.81824033202414,25.50561081,-19.0439978,44.54960861,1.8814375305,23.215439897144098,1.459269238234645,11.459443935944,12.468485078669922,57.54340884,0.215473313,57.327935527,4.592037887,155.46312015701446,1.238571674399309,jumping,Data_Jumping_Ben.csv
1.124418559544,6.558924866611744,67.37534225,-26.75940353,94.13474578,0.13142669699999998,43.01949540585789,3.586377506512773,-9.723178446476,22.519536705655725,22.20542358,-131.3820895,153.58751308,-1.1336675265,507.12953343737547,-2.555897757986636,2.050470225176,10.246944485039624,88.9309671,-57.20668808,146.13765518,0.640518036,104.99987127948395,1.6148467120698577,15.796908460284,22.48589619263939,146.9229874,0.326256173,146.59673122700002,7.131272901,505.61552758615466,2.938263781433325,jumping,Data_Jumping_Ben.csv
0.94267878937,3.4777710459365014,13.21661591,-9.254804535,22.471420445,0.1088985445,12.094891447954266,1.1565203970551454,-10.008296240838002,13.839072457572975,3.274141388,-47.7029512,50.977092588,-2.5699308015,191.5199264859549,-1.1629297257943352,2.6830457776039998,4.735694470212213,25.61922455,-8.579409027,34.198633576999995,1.5369289400000001,22.42680211519853,1.8439336681064227,12.273445590248,13.55203028979757,49.26683585,0.467473753,48.799362097,4.430408138000001,183.6575249755908,1.1542680535202994,jumping,Data_Jumping_Ben.csv
1.0253012750040003,4.090818963227125,16.28643219,-13.22499847,29.51143066,0.5627547454999999,16.734799789898652,0.5859695516095048,-9.033459224896,12.57574797187128,8.657546539,-67.85344803,76.51099456899999,-3.2430809785,158.14943705202464,-1.5459384997067582,3.421697343788,9.3170916981629,76.40890686,-48.77771622,125.18662308,1.7622104644999999,86.80819771197602,2.6573730733826784,12.47665574893,14.15585168235774,91.09876839,0.563521415,90.535246975,5.738810752,200.38813685291046,2.0415825754088823,jumping,Data_Jumping_Ben.csv
2.183828505198,3.7745071825470378,18.25768295,-9.606573029,27.864255979,1.4440470890000001,14.246904471099178,0.7775549080352457,-8.549793712382002,11.592120201481524,7.723488922,-62.39040848,70.11389740199999,-2.930830307,134.37725076559605,-1.5875002615539777,4.861627992600001,10.469412554746906,90.79444199,-47.67061844,138.46506043,2.6243426515,109.60859924149216,2.138447778219015,12.993589126832001,13.81676164254324,100.8232837,0.206569675,100.61671402500001,8.2701578885,190.90290228685416,2.1528047006291073,jumping,Data_Jumping_Ben.csv
2.40147830015,3.4424880036825503,15.83542007,-8.354875946,24.190296015999998,1.8409467315,11.85072365549827,0.6523797846083197,-8.554622071817999,10.894125262176992,7.204518127,-62.00151718,69.20603530700001,-4.155807953,118.6819652280029,-1.553114301201188,4.8246497891099995,7.651157057217034,53.90171082,-16.07342514,69.97513596,3.479963379,58.54020431420203,1.8867143167911544,12.416586607828,11.710131195660338,68.51557211,0.347558707,68.16801340299999,9.3167939765,137.12717261957744,1.6589036656437104,jumping,Data_Jumping_Ben.csv
2.331060235258,3.986233562140638,20.2609671,-6.443500671,26.704467770999997,1.1032058715000002,15.89005801193644,1.1772984233889938,-8.796571136211998,11.803928200312404,4.209396515,-50.55781448,54.767210995,-3.495980072,139.3327209581304,-1.5183181790738847,4.049333467658,8.192158035968196,50.85554535,-20.04406815,70.8996135,2.1508772279999997,67.11145328627829,1.7921521189480996,12.456041584414,12.899297167381315,68.75781436,0.372875144,68.38493921599999,6.97244404,166.3918674124116,1.445246283620583,jumping,Data_Jumping_Ben.csv
1.8185694653100002,4.4986775194178685,20.75134735,-11.14073273,31.89208008,0.6975494385000001,20.238099423715706,1.0233124854053577,-9.094735500166,12.436278544727895,8.056546326,-55.51685211,63.573398436000005,-2.864143982,154.66102404205935,-1.4713039974134006,3.932587043254,10.552918428259234,62.11752594,-29.21310104,91.33062698,1.880015488,111.36408735349335,1.8174365170220383,13.329851849258,14.493616183472193,78.68020697,0.528178343,78.152028627,6.282441185,210.06491007380706,1.5927059726873327,jumping,Data_Jumping_Ben.csv
1.91469806489,4.491242615880784,24.63367401,-13.82674713,38.46042114,1.0607691195000002,20.17126023470367,0.8667425031808941,-8.92363979551,12.067617709985665,3.540287933,-52.02955399,55.569841923,-2.451601868,145.62739719435967,-1.397981744411007,3.7204242379759997,8.471941599121857,44.29753281,-18.06308762,62.36062043,1.5157479855,71.7737944589314,1.740632512109748,12.526271806959999,13.33431433906153,59.53602727,0.232503063,59.303524206999995,5.993713409,177.80393889290193,1.2815662494279907,jumping,Data_Jumping_Ben.csv
