Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.883795958,0.588875427,-5.054688721,-7.977360992,9.462290459
0.893809958,0.483045502,-5.341192932,-7.043752441,8.853029049
0.903822958,-0.460143127,-5.442681885,-8.641380157,10.22291391
0.913835958,-1.345851288,-5.696254578,-10.25786865,11.810271
0.923849958,-1.977986755,-5.865552521,-11.06873245,12.68203359
0.933862958,-3.641028442,-6.441405029,-10.38375687,12.75034092
0.943875958,-5.791306915,-8.353079681,-8.471782837,13.23194167
0.953889958,-6.195765839,-8.19994812,-6.830296326,12.34016254
0.963902958,-6.408024445,-7.368127899,-3.735482025,10.45494677
0.973915958,-6.015540619,-6.480922852,-2.648143158,9.230479518
0.983929958,-6.036347351,-6.16403183,-1.429078217,8.745000989
0.993942958,-6.109994202,-6.068829803,-0.306412811,8.617227694
1.003955958,-5.374274139,-5.271138611,0.318537598,7.534533229
1.013969958,-4.495301971,-3.960613861,0.443827057,6.007593897
1.023982958,-3.672762451,-3.124901733,0.758622437,4.881567665
1.033995958,-3.851790161,-3.046165466,1.574875031,5.157096359
1.044009958,-1.627415771,-2.364333344,1.060843964,3.060056236
1.054022959,-0.280067596,-1.202748871,0.781524811,1.461445769
1.064035958,-1.61124939,-0.16375946,1.360520782,2.11517341
1.074049958,-1.911824341,0.237705688,1.129251709,2.233111221
1.084062958,-0.985101471,0.460891571,0.699046326,1.292869566
1.094075958,-0.826431427,1.167422333,0.938099213,1.710524463
1.104089958,-0.605341187,2.093097382,0.735270996,2.299590842
1.114102958,1.095571747,2.734812927,0.654289398,3.017875712
1.124115958,4.086502075,4.054019623,2.313439178,6.203754923
1.134129958,9.587861938,6.505172424,7.142846375,13.61119463
1.144142958,19.21105042,10.78417419,16.36950943,27.44674316
1.154155958,34.1094191,17.82942352,30.96999756,49.40123038
1.164169958,49.68108765,27.72294983,42.13991959,70.79933079
1.174182958,63.09424484,37.92573303,45.1601889,86.36369388
1.184195958,72.23319031,43.16004822,46.0506871,95.92230881
1.194209958,74.06088959,39.96269714,43.30614441,94.64383061
1.204222958,65.53896103,33.02956467,35.34959015,81.46104025
1.214235958,50.82979889,25.44992661,25.3584668,62.24483157
1.224249958,37.71182785,17.96414337,17.48693573,45.28449324
1.234262958,28.25105164,12.71620651,12.09350143,33.25772998
1.244275958,21.32899612,9.504784698,8.028105469,24.69245806
1.254288958,16.11922989,6.793023834,4.972359924,18.18513427
1.264302958,11.62332916,3.581302643,1.187031555,12.2203336
1.274315958,7.229665833,0.513132935,-3.482657776,8.041161523
1.284329958,3.13822403,-1.894161072,-7.405999146,8.263481081
1.294342958,-0.119750977,-3.637884979,-9.604477386,10.27105317
1.304355958,-2.145039368,-5.015170898,-10.00414627,11.39456342
1.314368958,-3.783532104,-6.42029892,-9.188492432,11.83062748
1.324382958,-5.032684479,-7.955955505,-8.175249481,12.46835375
1.334395958,-5.693709869,-9.562265167,-6.876999207,13.08236849
1.344408958,-6.231391754,-10.66113007,-5.283562775,13.43152907
1.354422958,-6.916966095,-11.20719452,-4.27780426,13.84721049
1.364435958,-7.903863831,-11.61300064,-4.371958466,14.71213337
1.374448958,-9.016799469,-11.71583679,-5.402565308,15.74011488
1.384462958,-9.738897858,-11.16812576,-6.033353577,15.99920373
1.394475458,-10.07240433,-10.42956161,-5.910459137,15.65766942
1.404488458,-10.22837997,-9.555978241,-5.593268738,15.07385592
1.414502458,-9.66495163,-8.579259338,-4.650529175,13.73471523
1.424515458,-8.644523621,-7.78336441,-2.6502388,11.9303108
1.434528458,-7.592511292,-7.044351196,-0.706530762,10.38115105
1.444542458,-6.577472076,-6.220763855,0.98989151,9.107190953
1.454555458,-5.983058167,-5.453160095,2.076631622,8.357412216
1.464568458,-5.352868652,-4.804858246,2.782863007,7.712599567
1.474582458,-4.732109528,-4.30355072,3.138373718,7.12480168
1.484595458,-4.224515076,-3.773952026,3.107537842,6.461117006
1.494608458,-3.553610229,-3.222947845,3.123704224,5.724776551
1.504622458,-2.927162933,-2.626138916,3.011737061,4.95332702
1.514635458,-2.22781723,-2.061063995,2.80935791,4.135655483
1.524648458,-1.417252808,-1.552870789,2.82462616,3.521154093
1.534662458,-0.807420959,-1.163680115,2.839295654,3.172960735
1.544675458,-0.068258057,-0.797691193,2.782713318,2.895593861
1.554688458,0.921184387,-0.363144836,2.889890442,3.054819408
1.564702458,2.163151703,0.339494019,3.122207336,3.813483988
1.574715458,3.319197693,1.280137939,2.953508148,4.623747057
1.584728458,4.758454742,2.189047852,2.486030273,5.797858963
1.594742458,6.416257324,3.123704224,2.404000854,7.530279293
1.604755458,7.738757172,3.89175705,2.515219574,9.020003603
1.614768458,10.01507355,4.312082977,3.616928558,11.48816478
1.624782458,13.52467529,5.079986115,6.054309998,15.66453862
1.634795458,16.97559906,6.722520447,7.88635025,19.88863406
1.644808458,23.16373077,8.099656677,9.840985565,26.43875675
1.654822458,33.69807449,9.407936096,13.9491925,37.66496326
1.664835458,46.34317886,12.65049316,18.34854401,51.42367423
1.674848458,59.21251694,18.32848572,22.5184227,65.94797125
1.684862458,71.59806107,23.5390004,23.45562378,78.93372647
1.694875458,78.68761826,24.90595779,20.26979874,84.98772112
1.704888458,76.65559387,22.80402878,13.63215179,81.12915236
1.714902458,67.05590652,18.33731735,7.370672607,69.90764352
1.724915458,56.05947372,12.37162308,6.398444366,57.76384459
1.734928458,45.36930405,6.609505463,8.855884094,46.69567427
1.744942458,33.91856598,2.246378632,9.490414581,35.29282227
1.754955458,23.60770752,-0.913101196,7.309749298,24.7303466
1.764968458,14.91064316,-3.476670227,3.946543121,15.81106315
1.774982458,8.0396315,-5.295986938,0.431851959,9.636889977
1.784995458,3.459006958,-6.418352966,-2.976859589,7.875384241
1.795008458,0.663121033,-7.288194122,-5.143005066,8.944719346
1.805022458,-1.055754547,-8.056396637,-5.765560455,9.963023226
1.815035458,-1.857337646,-8.403973846,-5.158572693,10.03430873
1.825048458,-2.222278748,-8.522078247,-4.129462738,9.72711689
1.835062458,-2.404300232,-8.648415527,-3.274440765,9.554983677
1.845075458,-2.441123657,-8.915909271,-2.969824219,9.709396414
1.855088458,-2.998863831,-8.928333435,-3.295247498,9.978325424
1.865102458,-4.393363953,-8.539142761,-3.838767242,10.34189247
1.875115458,-5.989345093,-8.215815125,-4.724924469,11.21145771
1.885128458,-7.588469696,-7.996970215,-6.056255951,12.57834016
1.895142458,-8.918154602,-7.578440552,-7.205116882,13.74336029
1.905155458,-9.822723541,-7.070247345,-7.748187561,14.37041077
1.915168458,-10.31939072,-6.579567719,-7.724836121,14.47251289
1.925182458,-10.38136185,-6.075565796,-6.67881134,13.75833182
1.935195458,-9.881700897,-5.428760834,-4.861889648,12.27833164
1.945208458,-8.972940674,-4.715793457,-2.983595581,10.5666558
1.955222458,-7.634124756,-4.041595459,-1.631756744,8.790732888
1.965235458,-6.168372803,-3.319646759,-0.374670868,7.014930926
1.975248458,-4.84063385,-2.581831055,0.475261688,5.506674254
1.985262458,-3.742367706,-1.932331696,0.782123566,4.28379961
1.995275458,-2.831212463,-1.294957123,0.831670532,3.222476352
2.005288458,-1.917213135,-0.695304108,0.949325867,2.249527419
2.015302458,-1.01803299,-0.1685495,1.111438751,1.516606804
2.025315458,-0.522114258,0.199535065,1.242566071,1.362493295
2.035328458,-0.49726593,0.478854218,1.221459961,1.403046401
2.045342458,-0.391286316,0.698896637,1.199904785,1.442682565
2.055355458,-0.049996033,0.817150726,1.454525299,1.669095192
2.065368458,0.340242462,0.884061584,1.955982513,2.173291838
2.075382458,0.742306366,0.993933105,2.327659607,2.637597582
2.085395458,1.400787048,1.235231323,2.792143707,3.359176575
2.095408458,2.199526062,1.761387177,3.301235046,4.340340138
2.105421458,2.924917603,2.390079803,3.559747467,5.19032046
2.115435458,3.530408478,2.927761688,3.483406219,5.75931345
2.125448458,4.350253601,3.322640533,3.472928009,6.482736726
2.135461458,5.493875427,3.522924042,3.613785095,7.460100785
2.145475458,7.191794586,3.706442413,4.125870209,9.081983798
2.155488458,9.571545868,4.182003479,4.920567627,11.54623875
2.165501458,12.27896576,5.41513916,6.049519958,14.72051032
2.175515458,16.67801788,6.42957962,7.842341766,19.5191726
2.185528458,23.87535095,6.97025528,11.17366425,27.26660255
2.195541458,32.50056473,7.621251526,17.19384521,37.54994668
2.205555458,40.22584991,9.171427917,25.49228851,48.49835941
2.215568458,45.89186737,11.49789001,32.89424606,57.62201306
2.225581458,51.25895645,11.4290332,38.82581131,65.31115556
2.235595458,52.55556015,8.82474884,41.71570175,67.67690055
2.245608458,47.00300674,6.707252197,39.95446426,62.05343737
2.255621458,38.67567352,5.02430191,35.32923248,52.62324581
2.265635458,31.50333847,3.684887238,30.16197784,43.76966571
2.275648458,25.72370728,4.115541687,26.15481079,36.91505014
2.285661459,20.30572403,5.433251495,23.42643448,31.47444174
2.295675458,15.69082077,5.667214966,20.93396759,26.76845496
2.305688458,12.39063354,4.639452209,18.30857712,22.58885372
2.315701458,9.921218719,3.201093292,14.92980331,18.20924507
2.325715458,8.021369476,1.924547882,10.6978038,13.50885854
2.335728458,6.250851288,0.726439362,6.267915802,8.88187055
2.345741458,4.198768616,-0.456700287,2.266586609,4.793291969
2.355755458,1.998045044,-1.638043671,-1.365610199,2.922372714
2.365768458,0.229772186,-3.08089325,-4.213138733,5.224484324
2.375781458,-1.299298096,-4.574487305,-5.619314575,7.36144048
2.385795458,-2.390079803,-5.432503052,-5.543572083,8.121315307
2.395808167,-3.003504181,-6.097719727,-4.591102753,8.20252691
2.405821166,-3.96660141,-6.705306244,-3.795956268,8.666276165
2.415835167,-5.641917572,-7.12353653,-3.99579071,9.926849952
2.425848166,-7.257208557,-7.45464798,-4.579876099,11.36723879
2.435861167,-8.300988007,-8.013735352,-5.400619354,12.73942878
2.445875166,-8.998687134,-8.328979797,-6.066584473,13.6803407
2.455888167,-9.781110077,-8.028404846,-6.628066864,14.28484053
2.465901167,-10.4165387,-7.440876617,-6.721173248,14.45839179
2.475915167,-10.58254349,-7.21709198,-6.245312805,14.25063421
2.485928167,-10.29723679,-7.265890503,-5.274431763,13.66184031
2.495941167,-9.628726959,-7.191495209,-3.615880737,12.55008286
2.505955167,-8.720565491,-7.0907547,-1.804198151,11.38341757
2.515968167,-7.818990326,-7.05557785,-0.431702271,10.54059559
2.525981166,-6.962471466,-6.855444031,0.42825943,9.780415529
2.535995167,-6.168522491,-6.450086975,0.895737305,8.969762373
2.546008166,-5.524262238,-5.989943848,0.854273529,8.193087564
2.556021166,-4.939129028,-5.523813171,0.523760834,7.428447545
2.566035166,-4.352648621,-4.949158173,0.136216736,6.592288801
2.576048166,-3.699257355,-4.273612976,-0.0490979,5.65249356
2.586061167,-3.081941071,-3.717070313,-0.10298584,4.829656153
2.596075166,-2.353106689,-3.188818817,-0.162711639,3.966377644
2.606088167,-1.558409271,-2.732417908,-0.238454132,3.154616847
2.616101167,-0.672401733,-2.214794312,-0.278720398,2.331335024
2.626115167,0.381855927,-1.523382111,-0.112565918,1.574540596
2.636128167,1.540296936,-0.653990021,0.285306702,1.697532772
2.646141167,2.806962891,0.334703979,0.553249512,2.880477815
