Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.897391958,9.549841003,-3.991300049,3.69042572,10.98859323
0.907422958,8.075856171,-5.004992065,3.847449188,10.25047627
0.917453958,7.029532013,-5.364394684,2.457888794,9.177813899
0.927484958,6.738686829,-5.338498535,2.15761322,8.863676528
0.937516958,6.924151154,-5.115162964,2.384391632,8.932753484
0.947547958,7.784112854,-4.091441803,2.576891327,9.163660724
0.957578958,8.889863434,-3.04227356,2.561174011,9.738825011
0.967609958,10.33630554,-2.240241394,2.811453552,10.94359013
0.977641958,11.37439682,-1.45213028,3.17908905,11.89925176
0.987672958,11.23698257,-1.15484848,2.839295654,11.64753417
0.997703958,10.4907843,-1.310375061,2.8877948,10.95960751
1.007734958,9.10092453,-1.788929901,2.873424683,9.709977698
1.017765958,7.793243866,-2.021995239,2.84213974,8.538200806
1.027797958,6.98657135,-2.013313293,3.058739319,7.888060336
1.037828958,6.260581055,-1.613943787,3.359463959,7.285992573
1.047859958,4.695735168,-1.275497589,3.581003265,6.041556692
1.057890958,3.02940033,-1.475631409,3.935316467,5.180875419
1.067921958,2.309098206,-2.200274506,5.247038727,6.140403718
1.077953958,2.556533661,-2.41971817,7.586972809,8.363794401
1.087984958,3.199147339,-2.293530579,9.810748444,10.57097967
1.098015958,4.135599976,-2.059417419,11.11049561,12.03276776
1.108046958,5.739963684,-1.350641327,11.72421936,13.12359458
1.118078958,6.806944885,-0.410147095,11.71164551,13.55231935
1.128109958,7.161856842,0.13337265,11.23773102,13.32653669
1.138140958,7.024741974,0.146694946,10.43450134,12.5796398
1.148171958,6.28213623,0.125738525,9.183852081,11.12763159
1.158202958,5.565127258,-0.022902374,7.471113739,9.316045643
1.168234958,5.006339264,-0.171543274,6.038293304,7.845625912
1.178265958,4.959187317,-0.182320862,4.621040497,6.780914025
1.188296958,6.068979492,0.346978455,3.597918091,7.063846028
1.198327958,7.202871552,1.159937897,2.979254608,7.880531234
1.208359958,7.913593597,1.502575378,2.620001678,8.470366296
1.218390958,8.755143585,1.437161407,2.233804779,9.149199741
1.228421958,9.233548737,1.162482605,1.029109955,9.363164816
1.238452958,8.97578476,0.755329285,-0.734522552,9.037408797
1.248483958,8.312663727,0.077538757,-1.687890015,8.482650718
1.258515958,7.077731781,-2.365231476,-2.698887634,7.935527806
1.268546958,3.955225067,-1.306333466,-1.794318695,4.535404286
1.278577958,6.598578186,0.453856201,0.035775604,6.614264844
1.288608958,11.05316483,-2.300865326,1.300046539,11.36470655
1.298639958,12.88176224,-2.19743042,2.104623413,13.23623581
1.308671958,13.5869458,-1.183289337,2.215093689,13.81708761
1.318702958,12.15696945,-1.12910202,1.694925385,12.32637618
1.328733958,10.38016434,-0.829724579,0.587228851,10.42981746
1.338764958,8.921148376,-0.869990845,-0.442629547,8.974390973
1.348796958,7.552095337,-1.946103058,-1.090931396,7.874743958
1.358827958,6.104755096,-3.408711548,-0.700393524,7.026941034
1.368858958,5.451064453,-5.253325653,6.424190826,9.928834869
1.378889958,4.810696106,-6.43901001,8.281229095,11.54046803
1.388920958,4.455035706,-8.989705811,7.530091095,12.54449782
1.398952958,4.863087158,-8.314160614,2.106569366,9.859640862
1.408983958,4.41117691,-9.332193604,-0.521365814,10.33538299
1.419014208,5.311704254,-9.50807785,1.462309113,10.98890779
1.429045208,6.052364044,-7.049590302,5.328768768,10.71091082
1.439077208,6.290668488,-4.17841095,4.573140106,8.828660063
1.449108208,8.202642517,-3.570225677,1.671573944,9.100770028
1.459139208,9.84742218,-3.802542572,-3.45526474,11.10720073
1.469170208,12.18915253,-3.217559052,-9.661808167,15.88328249
1.479201208,10.54063065,-4.134701843,-8.924142151,14.41669057
1.489233208,8.463400269,-5.416486359,-0.712967377,10.0735193
1.499264208,8.770411835,-6.399641876,0.125139771,10.8577714
1.509295208,8.161777496,-7.877368927,-0.509690094,11.35461744
1.519326208,8.105344849,-8.995843048,0.034278717,12.10879772
1.529358208,6.611301727,-8.963510284,-1.529669037,11.24249592
1.539389208,3.659140778,-9.027427368,-2.369123383,10.02479435
1.549420208,3.228486328,-7.748187561,-2.101180573,8.652889358
1.559451208,3.463796997,-6.99480423,-0.684077454,7.835377324
1.569482208,3.682641907,-6.65306488,0.212557983,7.607253421
1.579514208,4.037853241,-6.719676361,0.770447845,7.877302779
1.589545208,5.105283508,-6.504124603,0.943787384,8.322156642
1.599576208,5.935606842,-7.266938324,1.044527893,9.440914135
1.609607208,5.847889252,-9.364825745,-0.35102005,11.04631092
1.619639208,5.066364441,-10.83102676,-0.869691467,11.9889763
1.629670208,4.001778259,-10.5903273,-1.945653992,11.4871594
1.639701208,2.480192413,-10.23930725,-1.070873108,10.58969011
1.649732208,1.991309052,-9.439969482,-1.696272583,9.795696823
1.659763208,1.700014801,-8.826545105,-1.082099762,9.053667141
1.669795208,-0.601748657,-14.20860306,-1.344653778,14.28476797
1.679826208,-1.93652298,-19.04055496,-0.920286255,19.16089198
1.689857208,-2.493065643,-21.53676407,0.595461731,21.68875648
1.699888208,-0.034278717,-18.39839035,2.08860672,18.51659311
1.709920208,0.414937134,-14.9034581,2.755170593,15.16166881
1.719951208,-2.51806366,-12.34722382,0.870439911,12.63139922
1.729982208,-5.080135803,-9.837842102,0.80502594,11.1013055
1.740013208,-6.681954803,-7.895481262,1.224304047,10.41566439
1.750044208,-7.18670517,-6.463708649,1.53520752,9.786987423
1.760076208,-7.529043274,-6.132597198,1.267863464,9.792993352
1.770107208,-6.476282501,-6.222859497,-0.344583435,8.98804501
1.780138208,-4.794679413,-7.535629578,-1.104253693,8.999668884
1.790169208,-3.899391174,-9.035660248,-1.411714325,9.94189846
1.800201208,-3.193309479,-9.755812683,-1.533560944,10.37906141
1.810232208,-2.493215332,-9.967322845,-1.617835693,10.40101148
1.820263208,-2.062411194,-9.660161591,-1.63924118,10.01296028
1.830294208,-1.747316437,-9.179211731,-1.942510529,9.543814221
1.840325208,-1.290765839,-8.633147278,-2.108066254,8.980047422
1.850357208,-0.959205322,-8.260122986,-2.262095947,8.61781786
1.860388208,-0.648750916,-8.052055664,-2.392624512,8.425029983
1.870419208,-0.500259705,-8.056845703,-3.091820526,8.644210584
1.880450208,-0.807271271,-8.792266388,-4.358935547,9.846621463
1.890482208,-1.330882416,-9.959389343,-1.557211761,10.1678706
1.900513208,-2.581681366,-10.85677322,6.389912109,12.8594549
1.910544208,-3.744163971,-10.17209702,4.076472931,11.58049883
1.920575208,-3.962260437,-7.527845764,-4.23918457,9.50466493
1.930606208,-5.103038177,-5.383105774,-12.52625153,14.55767164
1.940638208,-4.750072174,-4.390669556,-8.421637115,10.61909302
1.950669208,-3.287313995,-5.560037842,-0.022752686,6.459177331
1.960700208,-1.665137329,-7.148983612,1.697619781,7.534093305
1.970731208,-0.357905731,-7.097490692,-1.368603973,7.237095237
1.980762208,-0.437091064,-6.64602951,-2.355950775,7.064790224
1.990794208,-0.693208466,-5.535339203,1.048719177,5.676295445
2.000825208,-0.159268799,-5.629493408,-0.317489777,5.640688109
2.010856208,0.076640625,-8.235124969,-3.970493317,9.142645909
2.020887208,-0.047900391,-11.8948645,-7.051835632,13.82817709
2.030919208,-0.584983521,-14.74763214,-9.549242249,17.57904682
2.040950208,-2.465522919,-17.75637543,-8.698710938,19.92574324
2.050981208,-4.934338989,-20.11531998,-3.427272949,20.99333225
2.061012208,-6.94331131,-21.61490158,-3.115022278,22.91542943
2.071044208,-8.444689178,-22.86914337,-4.733456726,24.83376948
2.081075208,-9.858050079,-23.47747833,-6.572682037,26.29778107
2.091106208,-10.94374237,-23.72221939,-5.084626465,26.61508249
2.101137208,-10.62340851,-24.49371506,-2.549049225,26.81970428
2.111168208,-9.506131897,-24.46018478,-3.621868286,26.4912271
2.121200208,-7.806266785,-22.6032962,-4.489314423,24.33106542
2.131231208,-5.640270996,-19.75471985,-5.125341797,21.17382209
2.141262208,-4.201013947,-17.067957,-5.793552246,18.5075369
2.151293208,-2.751578064,-13.93212799,-6.693031769,15.69942822
2.161325208,-2.612517242,-11.90773773,-5.671106873,13.44547944
2.171356208,-1.762285309,-10.34977753,-4.381538544,11.37635374
2.181387208,0.486488342,-7.621550903,-4.257596283,8.74367401
2.191418208,1.49658783,-7.285799103,-3.030747528,8.031691869
2.201449208,3.139870605,-5.892346802,-2.924318848,7.289045135
2.211481208,3.969744873,-3.980073395,-3.083587646,6.411581034
2.221512208,3.402424622,-3.308569794,-2.150877228,5.210508635
2.231543208,2.068548431,-2.339185638,-0.535137177,3.168130973
2.241574208,-0.653690643,-1.82066391,2.208208008,2.935696022
2.251606208,-1.422491913,-0.587977295,1.035396881,1.855059903
2.261637208,-1.377585297,0.350271606,-2.29218338,2.697134794
2.271668208,-2.057321777,0.330213318,-5.39882309,5.786959865
2.281699208,-2.252815247,-0.104333038,-7.156168671,7.503120148
2.291730208,0.338895264,0.541873169,-6.084996185,6.118468363
2.301762208,3.504662018,2.34247879,-2.785557404,5.052642159
2.311793208,3.643423462,3.351380768,1.00980011,5.052324597
2.321824208,3.162473602,3.429967346,3.783382416,6.006654459
2.331855208,3.207080841,3.238365784,5.828579407,7.398967385
2.341887208,3.364403687,2.910248108,5.190157013,6.835677438
2.351918208,2.240840149,1.773661652,2.844235382,4.0319865
2.361949208,1.063987427,1.145717468,1.29405899,2.029612385
2.371980208,0.698746948,1.081501007,0.858165436,1.547365387
2.382011208,0.648451538,1.178050232,0.755329285,1.542340453
2.392043208,0.759670258,1.130149841,0.962648163,1.667641763
2.402074208,0.855770416,0.856219482,1.154100037,1.672543483
2.412105208,0.464334412,-1.489851837,2.89827301,3.291694303
2.422136625,-0.01167572,-1.833836517,1.286873932,2.240343101
2.432168625,0.237556,1.739083557,-0.450263672,1.81206563
2.442199625,-0.159568176,1.69193161,-1.694626007,2.399969141
2.452230625,-0.764160919,0.743503876,-2.783910828,2.981090307
